,SalePrice
LotFrontage,0.35179909657067737
OverallQual,0.7909816005838053
YearBuilt,0.5228973328794967
YearRemodAdd,0.5071009671113866
MasVnrArea,0.47749304709571444
BsmtFinSF1,0.3864198062421535
TotalBsmtSF,0.6135805515591943
1stFlrSF,0.6058521846919153
2ndFlrSF,0.31933380283206736
GrLivArea,0.7086244776126515
FullBath,0.5606637627484453
TotRmsAbvGrd,0.5337231555820284
Fireplaces,0.46692883675152763
GarageYrBlt,0.4863616774878596
GarageCars,0.6404091972583519
GarageArea,0.6234314389183622
WoodDeckSF,0.32441344456812926
OpenPorchSF,0.31585622711605504
